Test ID,Nhóm,Test Name,Purpose,Pre-condition,Test Equipment,Test Procedure,Acceptance Criteria,Expected result,Th?i gian,Giá tr? ?o th?c t?,Pass/Fail,Evidence / Log,Executed By,Executed Date,Severity khi Fail
ST-MOT-005,Motor / Actuator Stress,All Joints Concurrent,Ki?m tra t?t c? actuator/joint ho?t ??ng ??ng th?i.,T?ng actuator ?ã ???c ki?m tra riêng; robot ? khu v?c an toàn; pin ?50%; E-stop ho?t ??ng; profile toàn robot ?ã phê duy?t.,Robot; actuator control tool; power analyzer; thermal camera; PC; oscilloscope n?u c?n.,"1. Ki?m tra t?ng joint/actuator không có l?i tr??c test.
2. B?t profile chuy?n ??ng c?a toàn b? joint.
3. B?t ??u ? t?c ??/t?i th?p ?? xác nh?n an toàn.
4. Chuy?n lên profile m?c tiêu.
5. Theo dõi current, temperature, position error và communication c?a các joint.
6. Ghi thông s? theo chu k?.
7. Ki?m tra không joint nào b? fault ho?c m?t communication.
8. D?ng toàn b? profile và ki?m tra log.",T?t c? joint ho?t ??ng ??ng th?i; không joint nào b? fault; h? th?ng v?n ?i?u khi?n ?n ??nh.,Không Critical fault; current/temperature trong gi?i h?n; position error c?a các joint ??t requirement; communication ?n ??nh.,30 min–24 h,,,,,,Major
ST-MOT-006,Motor / Actuator Stress,Repeated Start / Stop,Ki?m tra actuator ch?u ???c nhi?u chu k? kh?i ??ng/d?ng.,Robot an toàn; profile start/stop ?ã phê duy?t; E-stop ho?t ??ng; pin ?50%; logging b?t.,Robot; actuator tool; power analyzer; thermal camera; PC.,"1. Ghi current và temperature ban ??u.
2. Ch?y actuator t? tr?ng thái stop ? chuy?n ??ng ? stop.
3. L?p chu k? theo s? l?n ho?c th?i gian ???c yêu c?u.
4. Theo dõi peak current ? m?i l?n start.
5. Theo dõi temperature và position error theo chu k?.
6. Ki?m tra không fault, rung ho?c m?t communication.
7. K?t thúc test và ki?m tra log.",Actuator kh?i ??ng/d?ng l?p l?i bình th??ng; không phát sinh fault b?t th??ng.,Peak current không v??t gi?i h?n; temperature trong gi?i h?n; không Critical fault; actuator v?n ??t position requirement.,30 min–24 h,,,,,,Major
ST-MOT-007,Motor / Actuator Stress,Motor Thermal Stress,?ánh giá nhi?t ?? motor khi ho?t ??ng liên t?c.,?ã xác ??nh gi?i h?n nhi?t ?? motor; robot an toàn; pin/ngu?n ??; logging b?t.,Robot; actuator tool; thermal camera; temperature telemetry; power analyzer; PC.,"1. Ghi nhi?t ?? motor ? tr?ng thái idle.
2. Ch?y profile motor ? t?i/t?c ?? ?ã phê duy?t.
3. Duy trì trong th?i gian test.
4. Ghi nhi?t ?? m?i 1–5 phút.
5. ??ng th?i ghi current, torque và position error.
6. Xác ??nh nhi?t ?? peak và th?i ?i?m ??t steady-state.
7. D?ng motor n?u ??t gi?i h?n an toàn.
8. Ki?m tra nhi?t ?? gi?m sau khi d?ng và ki?m tra log.",Nhi?t ?? t?ng theo t?i nh?ng n?m trong gi?i h?n; motor không thermal fault ngoài d? ki?n.,Peak temperature ? gi?i h?n thi?t k?; không thermal shutdown ngoài d? ki?n; current/position error trong requirement.,30 min–24 h,,,,,,Major
ST-MOT-008,Motor / Actuator Stress,Driver Thermal Stress,?ánh giá nhi?t ?? driver khi ?i?u khi?n actuator liên t?c.,?ã xác ??nh gi?i h?n nhi?t ?? driver; robot an toàn; profile ?ã phê duy?t; logging b?t.,Robot; actuator tool; thermal camera; driver telemetry n?u có; power analyzer; PC.,"1. Ghi nhi?t ?? driver ban ??u.
2. Ch?y actuator theo profile t?i ?ã phê duy?t.
3. Duy trì test trong th?i gian yêu c?u.
4. Ghi nhi?t ?? driver m?i 1–5 phút.
5. Theo dõi current, fault status và communication.
6. Xác ??nh peak temperature.
7. D?ng test n?u v??t gi?i h?n an toàn.
8. Ki?m tra driver sau test và xem log.",Driver không quá nhi?t; actuator v?n ?i?u khi?n bình th??ng.,Peak driver temperature ? gi?i h?n thi?t k?; không Critical thermal fault; không communication loss.,30 min–24 h,,,,,,Major
ST-MOT-009,Motor / Actuator Stress,Current Monitoring,Ki?m tra dòng ?i?n c?a actuator trong các tr?ng thái t?i/chuy?n ??ng.,Power measurement ?ã ???c k?t n?i ?úng; gi?i h?n dòng ?ã xác ??nh; robot an toàn; logging b?t.,Robot; power analyzer; multimeter/current probe n?u phù h?p; actuator tool; PC.,"1. Ki?m tra thi?t b? ?o dòng và k?t n?i ?úng.
2. Ghi current khi actuator idle.
3. Ch?y chuy?n ??ng/t?i th?p và ghi current.
4. Ch?y t?i m?c tiêu và ghi average/peak current.
5. L?p l?i ? các tr?ng thái yêu c?u.
6. So sánh current ?o ???c v?i gi?i h?n thi?t k?.
7. Ki?m tra log/fault n?u có peak b?t th??ng.
8. D?ng test và l?u d? li?u ?o.",Dòng ?i?n phù h?p v?i tr?ng thái ho?t ??ng; peak không v??t gi?i h?n.,Average/peak current trong gi?i h?n thi?t k?; không over-current fault ngoài d? ki?n; d? li?u ?o h?p l?.,30 min–24 h,,,,,,Major
ST-MOT-010,Motor / Actuator Stress,Position Accuracy After Cycling,Ki?m tra ?? chính xác v? trí sau khi actuator ?ã ch?y nhi?u chu k?.,?ã xác ??nh v? trí chu?n và tolerance; actuator ?ã ???c ch?y cycle test; robot ? tr?ng thái an toàn.,Robot; actuator tool; position measurement tool n?u có; PC; power analyzer.,"1. ?o/ghi v? trí chu?n tr??c khi ch?y cycle.
2. Ch?y profile position cycling theo s? chu k? yêu c?u.
3. Sau khi k?t thúc, ??a joint v? các v? trí chu?n.
4. ?o position actual t?i t?ng v? trí.
5. Tính/ghi position error.
6. So sánh v?i k?t qu? tr??c test.
7. Ki?m tra actuator không có fault và log không có l?i Critical.",V? trí sau cycle v?n n?m trong tolerance; không có sai l?ch b?t th??ng.,Position error sau test ? requirement; không có degradation v??t gi?i h?n; không Critical actuator fault.,30 min–24 h,,,,,,Major
ST-MOT-011,Motor / Actuator Stress,Communication Under Motion,Ki?m tra CAN/EtherCAT và d? li?u ?i?u khi?n actuator khi robot/joint ?ang chuy?n ??ng.,CAN/EtherCAT ho?t ??ng bình th??ng tr??c test; robot ? khu v?c an toàn; E-stop ho?t ??ng; logging b?t.,Robot; actuator tool; CAN analyzer/EtherCAT monitor; PC; oscilloscope n?u c?n; power analyzer.,"1. Ki?m tra CAN/EtherCAT không có l?i tr??c test.
2. Ghi bus status/error count ban ??u.
3. Ch?y profile chuy?n ??ng ?ã phê duy?t.
4. Trong khi chuy?n ??ng, theo dõi message rate, latency, error frame ho?c communication error.
5. Ki?m tra position/velocity command v?n ???c c?p nh?t.
6. Duy trì test theo th?i gian yêu c?u.
7. D?ng motion an toàn.
8. Ki?m tra log và communication status sau test.",Communication duy trì ?n ??nh trong khi actuator chuy?n ??ng; command và feedback không b? m?t b?t th??ng.,Không Critical communication error; không bus-off/disconnect ngoài d? ki?n; message rate/latency ??t requirement.,30 min–24 h,,,,,,Major
ST-MOT-012,Motor / Actuator Stress,Actuator Endurance,?ánh giá ?? b?n ho?t ??ng c?a actuator trong th?i gian dài.,Actuator ?ã pass test c? b?n; profile endurance ?ã phê duy?t; robot an toàn; ngu?n/pin ??; E-stop ho?t ??ng; logging b?t.,Robot; actuator tool; power analyzer; thermal camera; PC; CAN/EtherCAT monitor.,"1. Ki?m tra t?t c? thông s? baseline: current, temperature, position error và communication.
2. Kh?i ??ng profile endurance.
3. Ch?y liên t?c ho?c l?p chu k? trong th?i gian 30 phút–24 gi?.
4. M?i 15 phút ghi current, temperature, position error, torque n?u có và communication status.
5. Ghi l?i m?i fault, warning, actuator restart ho?c communication loss.
6. N?u có d?u hi?u quá nhi?t, over-current ho?c c? khí b?t th??ng, d?ng test theo quy trình an toàn.
7. K?t thúc endurance và ki?m tra actuator.
8. So sánh thông s? tr??c và sau test.",Actuator hoàn thành th?i gian endurance; không phát sinh l?i nghiêm tr?ng; hi?u n?ng sau test không suy gi?m ngoài gi?i h?n.,Không Critical fault; current/temperature trong gi?i h?n; position error ??t requirement; communication ?n ??nh; không degradation v??t requirement.,30 min–24 h,,,,,,Major
ST-MOV-001,Motion / Walking Stress,Continuous Standing,Ki?m tra robot có th? ??ng yên liên t?c trong th?i gian dài mà không m?t th?ng b?ng ho?c phát sinh l?i.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c test an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Robot; khu v?c test an toàn; b? m?t test; camera/video; IMU/log; nhi?t ??/power monitoring.,"1. ??t robot trên b? m?t ph?ng, ch?c ch?n và ki?m tra khu v?c xung quanh không có ng??i/v?t c?n nguy hi?m.
2. Ki?m tra E-stop và ghi tr?ng thái ban ??u: nhi?t ??, công su?t, v? trí.
3. ??a robot v? t? th? ??ng chu?n.
4. B?t ??u b? h?n gi? và ghi video.
5. Duy trì tr?ng thái ??ng trong th?i gian yêu c?u.
6. Theo dõi robot có nghiêng, tr??t, m?t cân b?ng ho?c fall không.
7. M?i 5–15 phút ghi temperature, power và position error n?u có.
8. N?u robot có d?u hi?u m?t an toàn, d?ng test b?ng quy trình an toàn.
9. K?t thúc test và ki?m tra log.",Robot duy trì t? th? ??ng ?n ??nh trong toàn b? th?i gian test; không fall ngoài tiêu chí.,Không fall ngoài gi?i h?n; không motor fault; temperature/power và position error trong requirement.,30 min–4 h,,,,,,Major
ST-MOV-002,Motion / Walking Stress,Forward Walking,Ki?m tra robot ?i th?ng ?n ??nh trong th?i gian dài.,Robot bình th??ng; pin ?50%; khu v?c ?i b? ?? r?ng; b? m?t phù h?p; E-stop ho?t ??ng; logging b?t.,Robot; khu v?c test; camera/video; IMU/log; power monitor; ?o kho?ng cách n?u có.,"1. Ki?m tra ???ng ?i th?ng không có v?t c?n nguy hi?m.
2. Ghi t?c ?? và thông s? ban ??u.
3. Ch?n t?c ?? ?i th?ng theo requirement.
4. Cho robot b?t ??u ?i th?ng theo profile.
5. Theo dõi h??ng ?i, t?c ??, slip/fall và kho?ng cách robot ?i ???c.
6. M?i 5–15 phút ghi speed, position error, temperature và power.
7. N?u robot l?ch h??ng ho?c m?t cân b?ng b?t th??ng, d?ng test an toàn.
8. Sau khi ?? th?i gian, d?ng robot và ki?m tra log.","Robot ?i th?ng ?n ??nh, không fall/slip b?t th??ng và duy trì t?c ?? yêu c?u.",Không fall ngoài gi?i h?n; không motor fault; t?c ?? và position error ??t requirement; communication ?n ??nh.,30 min–4 h,,,,,,Major
ST-MOV-003,Motion / Walking Stress,Walking + Turning,Ki?m tra robot v?a ?i v?a quay h??ng ?n ??nh.,Robot bình th??ng; khu v?c ?? r?ng; profile ?i + quay ?ã phê duy?t; E-stop ho?t ??ng; logging b?t.,Robot; khu v?c test; camera/video; IMU/log; power monitor.,"1. Ki?m tra khu v?c quay ?? r?ng và an toàn.
2. Ch?y th? m?t chu k? ?i + quay ? t?c ?? th?p.
3. Xác nh?n robot hoàn thành chu k? mà không m?t th?ng b?ng.
4. Ch?y profile ?i th?ng ? quay ? ?i th?ng l?p l?i.
5. Theo dõi t?c ??, h??ng, position error, slip/fall, temperature và power.
6. Ghi d? li?u theo chu k?.
7. K?t thúc profile và ki?m tra log.",Robot ?i và quay ?úng profile; không fall/slip ngoài tiêu chí.,"Không fall ngoài gi?i h?n; không motor fault; t?c ??, h??ng/position error ??t requirement.",30 min–4 h,,,,,,Major
ST-MOV-004,Motion / Walking Stress,Backward Walking,Ki?m tra robot ?i lùi ?n ??nh.,Robot bình th??ng; khu v?c phía sau thông thoáng; có ng??i giám sát an toàn; E-stop ho?t ??ng; logging b?t.,Robot; khu v?c test; camera/video; IMU/log; power monitor.,"1. Ki?m tra toàn b? vùng phía sau robot không có ng??i/v?t c?n.
2. Ch?y th? ?i lùi ? t?c ?? th?p.
3. Xác nh?n robot gi? th?ng b?ng.
4. Ch?y profile ?i lùi theo requirement.
5. Theo dõi t?c ??, h??ng, slip/fall, position error, temperature và power.
6. Ghi d? li?u theo chu k?.
7. D?ng robot và ki?m tra log.",Robot ?i lùi ?n ??nh và gi? ???c h??ng/t?c ?? yêu c?u.,Không fall ngoài gi?i h?n; không motor fault; t?c ?? và sai s? ??t requirement.,30 min–4 h,,,,,,Major
ST-MOV-005,Motion / Walking Stress,Low-Friction Walking,Ki?m tra kh? n?ng ?i b? trên b? m?t có h? s? ma sát th?p.,?ã xác ??nh b? m?t test và gi?i h?n an toàn; robot bình th??ng; có ng??i giám sát; E-stop ho?t ??ng; logging b?t.,Robot; b? m?t ma sát th?p; camera/video; IMU/log; power monitor; d?ng c? ?o ?? d?c n?u có.,"1. Ki?m tra b? m?t ma sát th?p ?ã ???c chu?n b? và không có v?t c?n nguy hi?m.
2. Ghi ?i?u ki?n b? m?t và thông s? robot ban ??u.
3. Ch?y th? ? t?c ?? th?p.
4. N?u ?n ??nh, t?ng ??n profile yêu c?u.
5. Theo dõi slip, b??c chân, h??ng ?i, fall, motor current/temperature n?u có.
6. Ghi video ?? ?ánh giá hi?n t??ng tr??t.
7. D?ng test ngay n?u robot m?t ?n ??nh v??t m?c an toàn.
8. Ki?m tra log sau test.",Robot v?n ?i ???c trên b? m?t ma sát th?p trong gi?i h?n thi?t k?; không fall ngoài tiêu chí.,Không fall ngoài gi?i h?n; không motor fault; t?c ?? và position error ??t requirement; slip n?m trong gi?i h?n.,30 min–4 h,,,,,,Major
ST-MOV-006,Motion / Walking Stress,Incline Walking,Ki?m tra robot ?i lên d?c ?n ??nh.,?? d?c ?ã xác ??nh; có c? c?u/khu v?c an toàn ?? ng?n robot r?i; E-stop ho?t ??ng; robot bình th??ng; logging b?t.,Robot; ramp/d?c; camera/video; IMU/log; power monitor; ?o ?? d?c.,"1. Ki?m tra góc d?c theo giá tr? yêu c?u.
2. Ki?m tra c? c?u an toàn ch?ng robot r?i kh?i ramp.
3. Ch?y th? ? t?c ?? th?p.
4. Khi ?n ??nh, ch?y profile ?i lên d?c.
5. Theo dõi t?c ??, slip, position error, temperature và power.
6. Ghi d? li?u theo chu k?.
7. N?u robot có d?u hi?u tr??t/r?i, d?ng test an toàn.
8. Ki?m tra log.",Robot ?i lên d?c ?úng profile và gi? th?ng b?ng.,Không fall ngoài gi?i h?n; không motor fault; t?c ??/sai s? ??t requirement; nhi?t ?? và power trong gi?i h?n.,30 min–4 h,,,,,,Major
ST-MOV-007,Motion / Walking Stress,Decline Walking,Ki?m tra robot ?i xu?ng d?c và ki?m soát t?c ??.,?? d?c ?ã xác ??nh; khu v?c an toàn; có bi?n pháp ng?n robot tr??t/r?i; E-stop ho?t ??ng; logging b?t.,Robot; ramp/d?c; camera/video; IMU/log; power monitor.,"1. Ki?m tra góc d?c và vùng k?t thúc ???ng d?c.
2. Ch?y th? ?i xu?ng ? t?c ?? th?p.
3. Ki?m tra robot không t?ng t?c ho?c tr??t b?t th??ng.
4. Ch?y profile ?i xu?ng theo requirement.
5. Theo dõi t?c ??, slip/fall, position error, temperature và power.
6. Ghi video và log.
7. D?ng test n?u t?c ?? ho?c ?? tr??t v??t gi?i h?n an toàn.",Robot ?i xu?ng d?c có ki?m soát và không m?t th?ng b?ng.,Không fall ngoài gi?i h?n; không motor fault; t?c ??/sai s? ??t requirement; không tr??t v??t gi?i h?n.,30 min–4 h,,,,,,Major
ST-MOV-008,Motion / Walking Stress,Obstacle Crossing,Ki?m tra robot có th? v??t v?t c?n theo kích th??c yêu c?u.,Chi?u cao/kích th??c v?t c?n ?ã xác ??nh; robot bình th??ng; khu v?c có bi?n pháp ch?ng fall; E-stop ho?t ??ng; logging b?t.,Robot; v?t c?n test; camera/video; IMU/log; th??c ?o; power monitor.,"1. ?o và ghi kích th??c v?t c?n.
2. ??t v?t c?n ?úng v? trí trên ???ng ?i.
3. Ch?y th? ? t?c ?? th?p.
4. Quan sát chân robot ti?p c?n, b??c qua và r?i kh?i v?t c?n.
5. L?p theo s? l?n yêu c?u.
6. Theo dõi fall, slip, position error, temperature và power.
7. Ghi video t?ng l?n v??t v?t c?n.
8. Ki?m tra log.",Robot v??t v?t c?n thành công theo profile; không va ch?m nguy hi?m ho?c fall ngoài tiêu chí.,Hoàn thành s? l?n yêu c?u; không fall ngoài gi?i h?n; không motor fault; position error/t?c ?? ??t requirement.,30 min–4 h,,,,,,Major
ST-MOV-009,Motion / Walking Stress,Repeated Squat / Stand,Ki?m tra robot th?c hi?n squat và ??ng lên l?p l?i ?n ??nh.,"Robot ? khu v?c an toàn, t?t nh?t có c? c?u b?o v? fall; profile squat/stand ?ã phê duy?t; E-stop ho?t ??ng; logging b?t.",Robot; khu v?c test; camera/video; IMU/log; power monitor; thermal monitor.,"1. ??a robot v? t? th? ??ng chu?n.
2. Ch?y th? m?t chu k? squat ? stand ? t?c ?? th?p.
3. Xác nh?n robot gi? th?ng b?ng.
4. L?p chu k? theo s? l?n/th?i gian yêu c?u.
5. Theo dõi position error, motor temperature, power và fall.
6. Ghi cycle count và d? li?u theo chu k?.
7. D?ng test và ki?m tra log.",Robot hoàn thành các chu k? squat/stand; chuy?n ??ng ?n ??nh.,Không fall ngoài gi?i h?n; không motor fault; position error và t?c ?? ??t requirement; nhi?t ??/power trong gi?i h?n.,30 min–4 h,,,,,,Major
ST-MOV-010,Motion / Walking Stress,Full Motion Cycle,Ki?m tra chu?i chuy?n ??ng t?ng h?p c?a robot trong ?i?u ki?n th?c t?.,T?t c? motion profile thành ph?n ?ã ???c ki?m tra; khu v?c test an toàn; pin/ngu?n ??; E-stop ho?t ??ng; logging b?t.,Robot; khu v?c test; camera/video; IMU/log; power monitor; thermal monitor.,"1. Ki?m tra robot và t?t c? profile chuy?n ??ng.
2. Th?c hi?n chu?i: ??ng ? ?i ? quay ? ?i lùi ? squat/stand ho?c các ??ng tác ???c yêu c?u.
3. Ban ??u ch?y m?t chu k? ch?m ?? xác nh?n an toàn.
4. Ch?y full motion cycle theo k? ho?ch.
5. Theo dõi speed, fall, slip, position error, temperature và power.
6. Ghi d? li?u theo chu k?.
7. Sau khi hoàn thành, ki?m tra t?t c? actuator/motion status và log.",Robot hoàn thành chu?i chuy?n ??ng; không fall ngoài tiêu chí; motion ?n ??nh.,Không Critical motion/motor fault; không fall ngoài gi?i h?n; speed và position error ??t requirement; temperature/power trong gi?i h?n.,30 min–4 h,,,,,,Major
ST-PWR-001,Power / Battery Stress,Idle Power Consumption,?o công su?t khi robot ? tr?ng thái idle và ki?m tra ngu?n có ?n ??nh không.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry; PC n?u c?n.,"1. ??t robot ? tr?ng thái idle theo yêu c?u c?a s?n ph?m.
2. Ki?m tra k?t n?i c?a power analyzer/multimeter ?úng c?c và ?úng d?i ?o.
3. Ghi ?i?n áp battery tr??c test.
4. Ghi dòng ?i?n và công su?t khi robot idle.
5. Duy trì tr?ng thái idle 30–120 phút.
6. Ghi average và peak voltage/current/power theo chu k?.
7. Theo dõi xem robot có reset, m?t ngu?n ho?c brownout không.
8. K?t thúc test và ki?m tra log/BMS.",?i?n áp ?n ??nh; công su?t idle không t?ng b?t th??ng; robot không reset.,Voltage/current/power n?m trong gi?i h?n thi?t k?; không brownout/reset ngoài tiêu chí; d? li?u ?o ??y ??.,30–120 min,,,,,,Major
ST-PWR-002,Power / Battery Stress,Standing Power,?o công su?t khi robot ??ng yên và gi? t? th?.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry.,"1. ??a robot v? t? th? ??ng chu?n.
2. Ki?m tra robot ??ng ?n ??nh tr??c khi ?o.
3. Ghi voltage/current/power ban ??u.
4. Duy trì t? th? ??ng trong th?i gian test.
5. Ghi average và peak current/power theo chu k?.
6. Theo dõi motor/driver temperature n?u telemetry có.
7. Ki?m tra robot không reset, m?t th?ng b?ng ho?c báo power fault.
8. K?t thúc test và l?u log.",Robot ??ng ?n ??nh; ngu?n không s?t b?t th??ng; không reset.,Voltage/current/power trong gi?i h?n thi?t k?; không brownout; không power fault ngoài tiêu chí.,30–120 min,,,,,,Major
ST-PWR-003,Power / Battery Stress,Walking Power,?o công su?t khi robot ?i b? và ?ánh giá kh? n?ng c?p ngu?n trong chuy?n ??ng.,Robot bình th??ng; khu v?c ?i b? an toàn; pin ?50%; E-stop ho?t ??ng; logging b?t.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry; robot; camera/video.,"1. Ki?m tra ???ng ?i an toàn.
2. Ghi voltage/current/power khi robot ??ng yên ?? làm baseline.
3. Ch?y profile ?i b?.
4. Ghi current/power trong lúc robot b??c ?i.
5. Theo dõi peak current khi b??c/chuy?n h??ng.
6. Theo dõi voltage sag và xem có reset/brownout không.
7. Duy trì test 30–120 phút ho?c theo k? ho?ch.
8. D?ng robot an toàn và ki?m tra log.",Ngu?n c?p ?? cho chuy?n ??ng; robot ?i ?n ??nh; không reset/brownout.,Voltage/current/power trong gi?i h?n; peak/sag không v??t requirement; không reset/brownout ngoài tiêu chí.,30–120 min,,,,,,Major
ST-PWR-004,Power / Battery Stress,AI + Sensors Power,?o công su?t khi camera/sensor và AI/perception ho?t ??ng ??ng th?i.,Robot bình th??ng; camera/sensor ho?t ??ng; AI/perception ?ã ki?m tra riêng; pin ?50%; logging b?t.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry; PC; camera/sensor; AI application.,"1. B?t camera và các sensor c?n thi?t.
2. Ghi voltage/current/power tr??c khi b?t AI.
3. Kh?i ??ng AI/perception.
4. Duy trì workload AI + sensors theo th?i gian test.
5. Ghi average/peak current và power theo chu k?.
6. Theo dõi battery voltage và nhi?t ?? n?u có.
7. Ki?m tra AI/sensor không crash do ngu?n.
8. Ki?m tra có reset/brownout ho?c communication loss không.
9. D?ng workload và ki?m tra log.",AI và sensor ho?t ??ng ?n ??nh; ngu?n không b? s?t gây l?i.,Voltage/current/power trong gi?i h?n; không brownout/reset; AI và sensor không crash do ngu?n.,30–120 min,,,,,,Major
ST-PWR-005,Power / Battery Stress,Maximum System Power,?ánh giá công su?t c?c ??i c?a robot khi nhi?u t?i ho?t ??ng ??ng th?i.,?ã xác ??nh profile t?o t?i c?c ??i và gi?i h?n an toàn; pin/ngu?n ??; khu v?c an toàn; E-stop ho?t ??ng.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry; robot; PC; các t?i h? th?ng.,"1. Ki?m tra gi?i h?n voltage/current/power cho phép.
2. Ghi baseline khi robot idle.
3. B?t t?ng workload theo th? t? an toàn: motion, sensors, AI ho?c t?i ???c yêu c?u.
4. ??a h? th?ng ??n tr?ng thái maximum power theo profile ?ã phê duy?t.
5. Dùng oscilloscope/power analyzer ghi peak voltage, current và power.
6. Theo dõi battery voltage sag và reset/brownout.
7. Ch? duy trì m?c c?c ??i trong th?i gian ???c phê duy?t.
8. Gi?m t?i theo th? t? an toàn và ki?m tra log.",H? th?ng ??t tr?ng thái t?i c?c ??i mà ngu?n v?n ?n ??nh; không reset ngoài d? ki?n.,Peak voltage/current/power không v??t gi?i h?n thi?t k?; không brownout; không Critical power fault.,30–120 min,,,,,,Major
ST-PWR-006,Power / Battery Stress,Peak Current,?o dòng ?i?n ??nh khi robot th?c hi?n các ho?t ??ng có t?i cao.,Power analyzer/oscilloscope có ?? bandwidth và sampling; k?t n?i ?o ?úng; profile t?i cao ?ã phê duy?t; robot an toàn.,Power analyzer; oscilloscope; current probe/shunt phù h?p; multimeter; BMS telemetry.,"1. Ki?m tra thi?t b? ?o dòng và c?u hình sampling.
2. Ghi current baseline khi idle.
3. Ch?y các thao tác t?o peak current theo profile: t?ng t?c, ??ng lên, quay ho?c t?i cao.
4. Quan sát waveform current trên oscilloscope/power analyzer.
5. Ghi giá tr? peak và th?i ?i?m x?y ra.
6. ??ng th?i ghi battery voltage t?i th?i ?i?m peak.
7. L?p l?i s? l?n yêu c?u ?? xác nh?n tính l?p l?i.
8. Ki?m tra không có over-current/reset.",Peak current ?o ???c rõ ràng và n?m trong gi?i h?n thi?t k?.,Peak current ? gi?i h?n; waveform không có b?t th??ng nghiêm tr?ng; không over-current fault/reset ngoài tiêu chí.,30–120 min,,,,,,Major
ST-PWR-007,Power / Battery Stress,Battery Voltage Sag,Ki?m tra m?c s?t ?i?n áp battery khi robot ch?u t?i.,Pin ?50%; battery/BMS ho?t ??ng bình th??ng; profile t?i ?ã xác ??nh; robot an toàn; logging b?t.,Power analyzer; oscilloscope; multimeter; battery/BMS telemetry.,"1. ?o battery voltage khi robot idle.
2. Ch?y profile t?i ?ã phê duy?t.
3. Ghi voltage tr??c t?i, trong lúc t?i và ngay sau khi t?i.
4. Dùng oscilloscope n?u c?n ?? b?t s?t áp nhanh.
5. Ghi minimum voltage và current t??ng ?ng.
6. Tính/ghi ?? s?t áp so v?i baseline.
7. L?p l?i t?i theo yêu c?u.
8. Ki?m tra có brownout/reset hay không.",Battery voltage có th? gi?m khi t?i t?ng nh?ng không v??t m?c cho phép; robot v?n ho?t ??ng.,Minimum voltage và voltage sag trong gi?i h?n thi?t k?; không brownout/reset ngoài tiêu chí.,30–120 min,,,,,,Major
ST-PWR-008,Power / Battery Stress,Brownout Protection,Ki?m tra robot phát hi?n và x? lý ?úng khi ?i?n áp ngu?n gi?m xu?ng vùng brownout theo thi?t k?.,?ã xác ??nh ng??ng brownout t? requirement; có ngu?n/thi?t b? mô ph?ng s?t áp ???c phê duy?t; robot ? tr?ng thái an toàn; d? li?u quan tr?ng ?ã l?u.,Power analyzer; programmable power supply/battery simulator n?u ???c phép; oscilloscope; multimeter; BMS telemetry; PC.,"1. Xác nh?n chính xác ng??ng brownout và quy trình recovery.
2. K?t n?i thi?t b? t?o s?t áp theo s? ?? test ?ã phê duy?t.
3. Ghi voltage/current tr??c khi test.
4. Gi?m voltage t? t? ho?c theo profile ???c phê duy?t; không t?o ?i?u ki?n nguy hi?m ngoài k? ho?ch.
5. Ghi th?i ?i?m h? th?ng phát hi?n brownout và tr?ng thái robot.
6. Ki?m tra h? th?ng th?c hi?n c? ch? b?o v? ?úng thi?t k?.
7. ??a voltage tr? l?i m?c bình th??ng.
8. Ki?m tra robot có recovery/reboot ?úng requirement và d? li?u/h? th?ng có còn an toàn.
9. Ki?m tra log.","H? th?ng ph?n ?ng ?úng c? ch? brownout; sau khi ngu?n tr? l?i, robot recovery theo thi?t k?.",Brownout ???c phát hi?n ?úng; không gây h? h?ng; recovery/reboot ?úng requirement; không m?t d? li?u nghiêm tr?ng.,30–120 min,,,,,,Major
